userid, period, fear, disgust, anger, neutral, happiness, sad, surprise

Hunt3r,5,9.064,24.5,9.064,9.064,15.679,9.064,23.565
Hunt3r,5,19.595,4.721,1.895,48.305,2.56,17.066,5.858
Hunt3r,5,13.633,20.001,3.344,11.511,37.65,6.314,7.547
Hunt3r,5,20.392,7.964,3.493,20.926,20.162,7.314,19.749
Hunt3r,5,19.065,26.064,1.405,35.456,2.527,11.862,3.62
Hunt3r,6,0.172,4.262,0.565,0.343,94.418,0.08,0.16
Hunt3r,7,0.098,1.172,0.257,0.084,98.222,0.084,0.084
Hunt3r,7,0.045,0.256,0.045,0.045,99.521,0.045,0.045
Hunt3r,7,0.566,0.008,0.03,0.008,99.146,0.008,0.234
Hunt3r,7,0.031,0.551,0.12,0.02,99.237,0.02,0.02
Hunt3r,7,1.872,3.425,0.913,83.935,1.135,2.671,6.049
Hunt3r,7,4.058,1.474,0.535,71.984,1.425,19.025,1.499
Hunt3r,8,0.627,0.379,0.015,0.22,97.027,0.056,1.676
Hunt3r,8,0.075,0.086,0.006,0.051,99.327,0.006,0.449
Hunt3r,9,0.426,0.028,0.015,0.823,83.789,0.015,14.904
Hunt3r,10,0.83,0.04,0.05,73.601,0.11,0.054,25.316
Hunt3r,10,1.773,0.127,0.243,71.332,0.201,0.127,26.197
Hunt3r,10,0.261,0.028,0.118,96.795,0.984,0.419,1.395
Hunt3r,10,0.79,0.067,0.128,89.614,0.148,0.389,8.864
Hunt3r,10,0.097,0.095,0.209,96.979,0.134,2.337,0.148
Hunt3r,10,4.78,0.077,0.077,75.611,1.218,0.333,17.904
Hunt3r,10,2.815,0.113,0.113,47.006,36.181,0.113,13.659
Hunt3r,10,4.045,0.144,0.069,11.305,64.154,0.099,20.185
Hunt3r,11,0.33,0.047,0.047,48.201,42.535,0.1,8.739
Hunt3r,11,0.858,0.227,0.102,92.894,1.451,0.402,4.065
Hunt3r,11,2.199,0.135,0.135,72.606,0.403,0.168,24.353
Hunt3r,11,4.159,0.257,0.257,49.875,23.732,0.282,21.439
Hunt3r,11,7.451,0.145,0.243,75.787,0.37,0.541,15.464
Hunt3r,11,4.699,8.403,2.252,48.602,3.187,25.194,7.663
Hunt3r,11,23.202,0.372,0.294,18.924,23.729,0.435,33.045
Hunt3r,11,2.784,0.352,0.283,73.669,14.972,3.778,4.162
Hunt3r,11,2.739,0.263,0.263,52.314,38.434,2.79,3.197
Hunt3r,11,3.315,0.573,0.573,62.99,0.573,5.204,26.774
Hunt3r,11,6.927,0.519,0.519,60.624,0.519,6.403,24.491
Hunt3r,11,20.075,4.491,1.052,64.663,0.451,2.909,6.361
Hunt3r,11,4.315,1.323,0.269,85.856,0.404,3.32,4.513
Hunt3r,12,11.238,0.116,0.116,62.584,0.653,0.998,24.295
Hunt3r,12,24.487,0.76,0.609,42.37,0.422,3.106,28.246
Hunt3r,12,5.748,0.078,0.06,75.049,2.388,1.413,15.264
Hunt3r,12,12.538,0.812,0.204,38.341,0.272,4.727,43.106
Hunt3r,12,5.48,1.059,0.385,52.129,0.529,3.781,36.637
Hunt3r,12,1.016,0.046,0.046,22.593,64.944,0.303,11.051
Hunt3r,12,1.356,0.123,0.063,0.099,96.85,0.026,1.482
Hunt3r,12,1.665,0.734,0.399,0.744,95.122,1.13,0.205
Hunt3r,13,41.353,2.965,0.917,20.161,0.323,3.759,30.522
Hunt3r,13,21.78,0.643,0.712,34.077,0.48,3.775,38.534
Hunt3r,13,2.228,0.264,0.113,15.985,75.486,0.241,5.682
Hunt3r,13,1.164,0.139,0.111,8.793,85.224,0.267,4.302
Hunt3r,13,0.875,0.188,0.123,1.618,94.448,2.529,0.219
Hunt3r,13,7.322,0.744,0.315,68.428,0.771,12.24,10.18
Hunt3r,13,2.338,0.406,0.25,79.485,1.123,14.459,1.939
Hunt3r,13,2.843,0.614,0.231,83.135,0.748,9.117,3.313
Hunt3r,13,1.416,2.117,0.661,15.137,76.484,2.879,1.307
Hunt3r,13,15.985,0.953,0.352,59.602,0.477,5.999,16.633
Hunt3r,13,2.188,0.652,0.268,89.565,0.418,3.096,3.814
Hunt3r,15,4.53,2.069,0.376,68.69,0.409,3.794,20.132
Hunt3r,15,4.445,0.95,0.227,73.002,0.811,1.435,19.13
Hunt3r,15,0.978,0.373,0.257,84.756,0.492,12.092,1.051
Hunt3r,15,1.875,0.5,0.224,82.6,1.009,0.815,12.978
Hunt3r,15,0.415,0.617,0.121,87.102,6.916,4.035,0.794
Hunt3r,18,21.675,3.818,2.234,53.173,5.115,2.184,11.803
Hunt3r,18,28.96,0.57,0.354,43.34,0.809,1.366,24.602
